No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
1,22/05/2024,Vente,226000.0,28.0,RUE,0681,PIERRE DE CHAUVIN,14600.0,HONFLEUR,14,333,CM,83,0,1.0,Maison,95.0,5.0,S,641.0
1,30/04/2024,Vente,1925000.0,3.0,IMP,0006,DE BEL AIR,61170.0,MARCHEMAISONS,61,251,ZB,20,0,3.0,Dépendance,0.0,0.0,P,92525.0
1,01/03/2024,Vente,109500.0,2.0,AV,0300,COMMUNE DE PARIS,56600.0,LANESTER,56,98,AE,346,0,1.0,Maison,86.0,5.0,S,299.0
1,30/01/2024,Vente,200000.0,6.0,ALL,1451,DES CHAMPS FLEURIS,94400.0,VITRY-SUR-SEINE,94,81,AL,104,2,3.0,Dépendance,0.0,0.0,,
1,13/03/2024,Vente,120000.0,140.0,BD,2005,DE LA CROIX-ROUSSE,69001.0,LYON 1ER,69,381,AL,249,2,3.0,Dépendance,0.0,0.0,,
1,28/03/2024,Vente,302000.0,9.0,RUE,9641,VICTOR HUGO,92400.0,COURBEVOIE,92,26,AH,384,1,3.0,Dépendance,0.0,0.0,,
1,15/01/2024,Vente,239200.0,17.0,,A029,LES MAS DE LA CHESNAIE VAL,83250.0,LA LONDE LES MAURES,83,71,CP,61,0,1.0,Maison,48.0,2.0,S,158.0
1,25/06/2024,Vente,164500.0,26.0,RUE,0440,DES TEMPLIERS,16700.0,CONDAC,16,104,C,627,0,3.0,Dépendance,0.0,0.0,S,1000.0
1,27/05/2024,Vente,285700.0,18.0,LOT,A030,LE BELVEDERE,33420.0,CABARA,33,78,AC,564,0,1.0,Maison,127.0,5.0,AG,692.0
1,09/02/2024,Vente,393000.0,14.0,RUE,0780,COMMANDANT ANDRE,6400.0,CANNES,06,29,BV,37,3,2.0,Appartement,55.0,4.0,,
1,20/02/2024,Vente,110000.0,21.0,RUE,0161,SAINTE SOLANGE,18220.0,BRECY,18,35,ZV,85,0,1.0,Maison,94.0,4.0,S,500.0
1,29/01/2024,Vente,265000.0,5461.0,,B033,BOIS SOLDAT EST,97240.0,FRANCOIS,972,10,Z,461,0,1.0,Maison,40.0,2.0,S,500.0
1,22/03/2024,Vente,291900.0,180.0,RTE,0300,DE POPERINGHE,59114.0,STEENVOORDE,59,580,ZX,163,0,3.0,Dépendance,0.0,0.0,S,636.0
1,15/04/2024,Vente,421000.03,585.0,,B151,ENSALES,9240.0,LA BASTIDE-DE-SEROU,09,42,C,3057,0,4.0,Local industriel. commercial ou assimilé,410.0,0.0,S,309.0
1,02/02/2024,Vente,185000.0,49.0,AV,7920,DE ST ROCH,13740.0,LE ROVE,13,88,AC,297,1,2.0,Appartement,42.0,2.0,,
1,28/06/2024,Vente,493250.0,7.0,RUE,1150,DE LARRIOU,64200.0,BIARRITZ,64,122,BK,7,1,2.0,Appartement,58.0,3.0,,
1,12/06/2024,Vente,128000.0,2.0,IMP,4347,DES SAPINS,85160.0,SAINT-JEAN-DE-MONTS,85,234,BV,248,1,2.0,Appartement,42.0,3.0,,
1,09/02/2024,Vente,102500.0,2.0,ALL,7296,1ERE DIV FRANCAISE LIBRE,21000.0,DIJON,21,231,AH,1556,2,2.0,Appartement,79.0,4.0,,
1,16/03/2024,Vente,145000.0,28.0,RUE,4270,DE LA PLANCHE BARRAULT,89100.0,SENS,89,387,AY,579,0,3.0,Dépendance,0.0,0.0,S,130.0
1,14/02/2024,Vente,340000.0,5.0,RUE,0510,DES NOYERS,69720.0,SAINT-LAURENT-DE-MURE,69,288,AS,38,0,1.0,Maison,140.0,5.0,AG,748.0
1,09/01/2024,Vente,135000.0,41.0,RUE,1430,DU PDT DESPATYS,77000.0,MELUN,77,288,AK,447,1,3.0,Dépendance,0.0,0.0,,
1,04/04/2024,Vente,332450.0,5.0,RUE,1262,DES CANONNIERS,59800.0,LILLE,59,350,HP,71,1,3.0,Dépendance,0.0,0.0,,
1,14/02/2024,Vente,165000.0,112.0,RUE,0410,JEAN JAURES,94490.0,ORMESSON-SUR-MARNE,94,55,AI,467,1,3.0,Dépendance,0.0,0.0,,
1,15/05/2024,Vente,137000.0,2.0,RUE,1640,VIVALDI,60300.0,SENLIS,60,612,BK,109,2,2.0,Appartement,58.0,3.0,,
1,12/06/2024,Vente,305000.0,22.0,,0079,HAUTE RUE,14112.0,BIEVILLE-BEUVILLE,14,68,AD,15,0,3.0,Dépendance,0.0,0.0,S,650.0
1,04/04/2024,Vente,193100.0,29.0,RUE,0565,AUGUSTE BRULLE,21000.0,DIJON,21,231,HP,476,2,2.0,Appartement,63.0,3.0,,
1,04/01/2024,Vente,110000.0,22.0,RUE,0593,RENE CASSIN,9300.0,LAVELANET,09,160,C,474,0,3.0,Dépendance,0.0,0.0,S,83.0
1,18/06/2024,Vente,42900.0,14.0,RUE,0055,PRINCIPALE,2300.0,AUDIGNICOURT,02,34,B,217,0,1.0,Maison,98.0,5.0,S,305.0
1,29/02/2024,Vente,245440.0,2.0,IMP,0255,DES GRILLONS,85520.0,SAINT-VINCENT-SUR-JARD,85,278,ZK,1092,0,3.0,Dépendance,0.0,0.0,S,336.0
1,19/01/2024,Vente,237700.0,1376.0,AV,1710,DE PROVENCE,83600.0,FREJUS,83,61,BI,1561,1,3.0,Dépendance,0.0,0.0,,
1,08/02/2024,Vente,540000.0,113.0,RUE,2050,GABRIEL MOUILLERON,54000.0,NANCY,54,395,BT,139,0,2.0,Appartement,58.0,3.0,J,550.0
1,08/02/2024,Vente,329000.0,6152.0,,B015,AU BOURG,46220.0,PRAYSSAC,46,225,AA,189,0,1.0,Maison,153.0,5.0,AG,821.0
1,14/02/2024,Vente,171000.0,247.0,RUE,0730,DU BLANC SEAU,59200.0,TOURCOING,59,599,IK,811,0,3.0,Dépendance,0.0,0.0,S,17.0
1,03/06/2024,Vente,900000.0,5001.0,RUE,0240,DU PONT BRULE,59360.0,ORS,59,450,B,242,0,4.0,Local industriel. commercial ou assimilé,1444.0,0.0,S,1444.0
1,31/05/2024,Vente,145000.0,7.0,RUE,2635,DEVEAUX,33200.0,BORDEAUX,33,63,VR,1,2,3.0,Dépendance,0.0,0.0,,
1,29/05/2024,Vente,139400.0,61.0,AV,8135,RENE PANHARD,94320.0,THIAIS,94,73,Y,116,1,2.0,Appartement,20.0,1.0,,
1,28/06/2024,Vente,270000.0,2.0,ALL,8841,ST JUST,93210.0,SAINT-DENIS,93,66,CO,77,1,2.0,Appartement,63.0,3.0,,
1,27/05/2024,Vente,230000.0,14.0,RUE,2822,DES FOSSES DE TRION,69005.0,LYON 5EME,69,385,AV,56,4,3.0,Dépendance,0.0,0.0,,
1,01/03/2024,Vente,74210.0,40.0,RUE,1720,TOUFAIRE,17300.0,ROCHEFORT,17,299,AB,135,1,2.0,Appartement,19.0,1.0,,
1,13/02/2024,Vente,95000.0,62.0,RUE,0560,DE LA REPUBLIQUE,59172.0,ROEULX,59,504,AA,182,0,3.0,Dépendance,0.0,0.0,S,223.0
